codigo_producto,categoria
P1632,Huevos
P3937,Arroz
P1451,Cereales
P1814,Frutas y verduras
P630,Arroz
P488,Condimentos
P1462,Cereales
P626,Arroz
P1449,Harinas
P1460,Cereales
01582,Bebidas
P618,Arroz
P641,Arroz
P608,Arroz
P275,Aseo hogar
P1631,Bebidas
P613,Arroz
P4207,Confitería
P1835,Frutas y verduras
P1834,Frutas y verduras
P2456,Azúcares y endulzantes
P2258,Licores
P1820,Frutas y verduras
P479,Azúcares y endulzantes
P1235,Panadería
P1461,Cereales
00155,Licores
P1805,Frutas y verduras
00875,Bebidas
P1414,Harinas
P912,Avícola
P1821,Frutas y verduras
P648,Chocolate
P658,Chocolate
P478,Azúcares y endulzantes
P653,Chocolate
P1840,Frutas y verduras
P1772,Confitería
P1625,Bebidas
P1855,Frutas y verduras
P530,Granos
01993,Licores
P1059,Aseo hogar
P1738,Condimentos
P508,Aceites y sustitutos
02312,Granos
P905,Lácteos
P1426,Harinas
P1791,Condimentos
P833,Confitería
P482,Azúcares y endulzantes
01759,Bebidas instantáneas
01120,Frutas y verduras
P175,Cuidado personal
P4003,Repostería
01448,Otros
P700,Chocolate
P1836,Frutas y verduras
P1428,Harinas
P1615,Semillas y frutos secos
P491,Azúcares y endulzantes
P1453,Cereales
P1264,Confitería
P1798,Frutas y verduras
P1969,Aseo hogar
P481,Azúcares y endulzantes
P507,Aceites y sustitutos
P3796,Chocolate
P1452,Cereales
P1851,Frutas y verduras
01332,Lácteos
P1628,Bebidas
P1490,Condimentos
P863,Cárnicos
P838,Confitería
P1180,Bebidas instantáneas
P671,Café y sustitutos
P672,Café y sustitutos
P1210,Repostería
P1810,Frutas y verduras
01594,Azúcares y endulzantes
P884,Lácteos
P1813,Frutas y verduras
P1807,Frutas y verduras
P2212,Azúcares y endulzantes
00665,Bebidas
P1193,Bebidas instantáneas
P1214,Panadería
P1259,Panadería
P537,Granos
P1986,Cuidado personal
P3943,Granos
01417,Confitería
P650,Bebidas
P1647,Confitería
P1842,Frutas y verduras
P1418,Salsas y aderezos
P777,Harinas
02270,Granos
P1239,Panadería
01994,Licores
P498,Granos
P4174,Arroz
P4472,Lácteos
P477,Azúcares y endulzantes
P2935,Cárnicos
P1811,Frutas y verduras
P509,Aceites y sustitutos
02159,Granos
P837,Confitería
P4744,Lácteos
02073,Bebidas
P1790,Cárnicos
P1648,Confitería
P1265,Confitería
P1417,Salsas y aderezos
P4629,Bebidas
P1905,Condimentos
P1002,Aseo hogar
P1440,Cereales
P2856,Repostería
P629,Arroz
P3027,Confitería
P4428,Cereales
P1832,Frutas y verduras
P699,Chocolate
02272,Chocolate
P1402,Panadería
P484,Condimentos
P1819,Frutas y verduras
P2519,Chocolate
P1915,Cereales
P1194,Bebidas instantáneas
P673,Café y sustitutos
P3026,Confitería
P869,Cárnicos
P4359,Aseo hogar
P1957,Bebidas
02109,Aseo hogar
P495,Azúcares y endulzantes
P4650,Hogar
