codigo_producto,categoria
00863,Confitería
01627,Frutas y verduras
00187,Frutas y verduras
00542,Café y sustitutos
00823,Cereales
01151,Velas y velones
01256,Salsas y aderezos
01519,Condimentos
01859,Aseo hogar
02176,Café y sustitutos
02382,Granos
P1261,Panadería
P1373,Confitería
P1437,Cereales
P1522,Velas y velones
P1563,Salsas y aderezos
P1564,Salsas y aderezos
P1567,Salsas y aderezos
P2035,Panadería
P2097,Café y sustitutos
P2098,Café y sustitutos
P2099,Café y sustitutos
P227,Aseo hogar
P2291,Panadería
P267,Aseo hogar
P2817,Café y sustitutos
P472,Velas y velones
P820,Confitería
P833,Confitería
P834,Confitería
01322,Congelados
01906,Salsas y aderezos
02429,Bebidas
P1397,Café y sustitutos
P1703,Medicamentos
P2062,Velas y velones
P2620,Café y sustitutos
P2674,Salsas y aderezos
00393,Velas y velones
00674,Café y sustitutos
01065,Salsas y aderezos
01876,Aseo hogar
01945,Bebidas
P1259,Panadería
P1332,Confitería
P1333,Confitería
P2260,Café y sustitutos
P4418,Confitería
P695,Café y sustitutos
P824,Confitería
00015,Panadería
00022,Café y sustitutos
00069,Velas y velones
01576,Café y sustitutos
01929,Aseo hogar
02159,Granos
02258,Café y sustitutos
P1434,Cereales
P1482,Condimentos
P1565,Salsas y aderezos
P1573,Salsas y aderezos
P1578,Salsas y aderezos
P4417,Confitería
P701,Café y sustitutos
00016,Café y sustitutos
01851,Aseo hogar
01881,Salsas y aderezos
02183,Confitería
02434,Bebidas
P1176,Velas y velones
P1552,Salsas y aderezos
P1591,Conservas
P2083,Condimentos
P230,Aseo hogar
P231,Aseo hogar
P3992,Granos
P531,Granos
P703,Café y sustitutos
P720,Café y sustitutos
P991,Licores
00724,Velas y velones
02435,Bebidas
P539,Granos
00675,Café y sustitutos
P1941,Confitería
P3170,Café y sustitutos
P409,Café y sustitutos
P471,Velas y velones
01860,Aseo hogar
P1336,Confitería
P1692,Café y sustitutos
P2133,Café y sustitutos
P2335,Condimentos
P3637,Café y sustitutos
00188,Licores
00816,Café y sustitutos
02184,Café y sustitutos
P1576,Salsas y aderezos
P1580,Salsas y aderezos
P1582,Velas y velones
P2473,Granos
P4542,Bebidas
P675,Café y sustitutos
P687,Café y sustitutos
P704,Café y sustitutos
P992,Licores
01475,Confitería
P1935,Aseo hogar
P2187,Café y sustitutos
00436,Café y sustitutos
00638,Café y sustitutos
P1515,Velas y velones
P480,Café y sustitutos
P688,Café y sustitutos
P705,Café y sustitutos
00778,Café y sustitutos
P2225,Café y sustitutos
P2795,Salsas y aderezos
P3116,Velas y velones
P3704,Café y sustitutos
P1200,Bebidas
P2010,Café y sustitutos
P1330,Confitería
P266,Aseo hogar
P2951,Café y sustitutos
02016,Aseo hogar
P1600,Condimentos
P2531,Café y sustitutos
P3758,Café y sustitutos
P1362,Café y sustitutos
P2077,Café y sustitutos
P3710,Café y sustitutos
P4672,Conservas
P1172,Velas y velones
00864,Licores
P2179,Confitería
P582,Café y sustitutos
01253,Conservas
01928,Aseo hogar
P1374,Confitería
P272,Aseo hogar
P2904,Velas y velones
00386,Café y sustitutos
01870,Café y sustitutos
01937,Congelados
01277,Café y sustitutos
P4327,Confitería
P4454,Café y sustitutos
P707,Café y sustitutos
01135,Café y sustitutos
02122,Confitería
P702,Café y sustitutos
00673,Café y sustitutos
02187,Harinas
P1568,Salsas y aderezos
P3305,Aseo hogar
02270,Granos
01013,Café y sustitutos
01839,Velas y velones
P2424,Salsas y aderezos
P692,Café y sustitutos
P3697,Licores
P65,Velas y velones
00712,Café y sustitutos
P1693,Café y sustitutos
P981,Licores
P706,Café y sustitutos
P2072,Conservas
01087,Aseo hogar
P68,Café y sustitutos
P813,Chocolate
P1281,Licores
00392,Velas y velones
P2073,Conservas
P4458,Velas y velones
00832,Café y sustitutos
00192,Café y sustitutos
01004,Café y sustitutos
02394,Bebidas
01659,Bebidas
01537,Salsas y aderezos
P4631,Café y sustitutos
P2609,Bebidas
00644,Congelados
00031,Aseo hogar
P1626,Bebidas
