codigo_producto,motivo
00254,ancheta_no_recurrente
00364,ancheta_no_recurrente
02419,ancheta_no_recurrente
00372,ancheta_no_recurrente
00441,ancheta_no_recurrente
00438,ancheta_no_recurrente
00410,ancheta_no_recurrente
02745,ancheta_no_recurrente
00407,ancheta_no_recurrente
01632,ancheta_no_recurrente
00400,ancheta_no_recurrente
00367,ancheta_no_recurrente
00376,ancheta_no_recurrente
00405,ancheta_no_recurrente
00409,ancheta_no_recurrente
00370,ancheta_no_recurrente
02420,ancheta_no_recurrente
00366,ancheta_no_recurrente
00406,ancheta_no_recurrente
00374,ancheta_no_recurrente
00397,ancheta_no_recurrente
00439,ancheta_no_recurrente
00368,ancheta_no_recurrente
02744,ancheta_no_recurrente
00371,ancheta_no_recurrente
00437,ancheta_no_recurrente
00404,ancheta_no_recurrente
00408,ancheta_no_recurrente
00402,ancheta_no_recurrente
00442,ancheta_no_recurrente
P3840,ancheta_no_recurrente
00440,ancheta_no_recurrente
00401,ancheta_no_recurrente
00369,ancheta_no_recurrente
00373,ancheta_no_recurrente
00403,ancheta_no_recurrente
02743,ancheta_no_recurrente
